"","Chamaecrista_anceps.asc","Chamaecrista_aristata.asc","Chamaecrista_arrojadoana.asc","Chamaecrista_blanchetii.asc","Chamaecrista_brachystachya.asc","Chamaecrista_burchelli.asc","Chamaecrista_calycioides.asc","Chamaecrista_cardiostegia.asc","Chamaecrista_choriophylla.asc","Chamaecrista_cinerascens.asc","Chamaecrista_confertiformis.asc","Chamaecrista_decora.asc","Chamaecrista_depauperata.asc","Chamaecrista_desvauxii_var_desvauxii.asc","Chamaecrista_desvauxii_var_langsdorffii.asc","Chamaecrista_desvauxii_var_latistipula.asc","Chamaecrista_desvauxii_var_mollissima.asc","Chamaecrista_diphylla.asc","Chamaecrista_distichoclada.asc","Chamaecrista_flexuosa_var_flexuosa.asc","Chamaecrista_lagotois.asc","Chamaecrista_latifolia.asc","Chamaecrista_mucronata.asc","Chamaecrista_nictitans_subsp_brachypoda.asc","Chamaecrista_olesiphylla.asc","Chamaecrista_pascuorum.asc","Chamaecrista_pilosa_var_luxurians.asc","Chamaecrista_potentilla.asc","Chamaecrista_repens_var_multijuga.asc","Chamaecrista_roraimae.asc","Chamaecrista_rossicorum.asc","Chamaecrista_rotundata_var_interstes.asc","Chamaecrista_rotundata_var_rotundata.asc","Chamaecrista_rotundifolia_var_grandiflora.asc","Chamaecrista_simplifacta.asc","Chamaecrista_supplex.asc","Chamaecrista_swainsonii.asc","Chamaecrista_tragacanthoides_var_rasa.asc","Chamaecrista_tragacanthoides_var_tragacanthoides.asc","Chamaecrista_ulmea.asc","Chamaecrista_venulosa.asc"
"Chamaecrista_anceps.asc",NA,0.063347710739515,0.255267197662021,0.0348919150854642,0.0861410366080064,0.036744505092788,0.0286937274016663,0.348568580626598,0.37173865921156,0.547942874389202,0.0157280859066317,0.307705418895534,0.028166959971774,0.0520267817070248,0.338812476874533,0.200495935446901,0.112139973598927,0.0155079699809628,0.205179843691069,0.103060446441695,0.0992149974391362,0.465582404215352,0.398069238029545,0.114337786580708,0.457712922752463,0.042061601900135,0.0338490654294032,0.41221667905435,0.0418384663866956,0.0346085703266058,0.251405009880491,0.36459568000865,0.356271875056374,0.0430806632567092,0.182429705893931,0.0131671409803293,0.025601849857664,0.334890478975263,0.221543926217356,0.0554115775678498,0.362902609332876
"Chamaecrista_aristata.asc",0.208756245416776,NA,0.0839220340073965,0.0643682697569185,0.199986053743312,0.00853367604141886,0.040664709701551,0.0620382183251119,0.0944420652244433,0.0493965165001985,0.0190677314704493,0.382607546335005,0.0260790216241265,0.0954414596721225,0.0864938187978509,0.0969036329318562,0.127305372541053,0.0128988297393993,0.021628368361753,0.0988619790852555,0.0164341565306227,0.0349158441506978,0.0540335000196684,0.075659626195611,0.0788467239545283,0.0906719862835484,0.0381313534215418,0.0556724253596259,0.126917444754755,0.105698924197436,0.03968556499071,0.221780240527705,0.0646671001600641,0.0826704032593547,0.0783777390636826,0.0148161827645841,0.0454429607578604,0.277981736742241,0.0455349753202129,0.539546423710759,0.11918685493816
"Chamaecrista_arrojadoana.asc",0.481551149284841,0.231855312939058,NA,0.259552087720118,0.381352014185696,0.0406686163359467,0.0682591170435568,0.236568750220704,0.255574470111695,0.387253706152097,0.20282823637593,0.324757537085681,0.276472524592459,0.20459224614995,0.304554516329204,0.239418464028527,0.335104508891362,0.0635751666936779,0.0642341372003874,0.238893041233179,0.105189153706625,0.274557137737948,0.269060609197589,0.150035719337653,0.353052026593144,0.183364835422471,0.0774605888692464,0.340850585230578,0.18796590939685,0.191640671852895,0.155260229112057,0.349276267927859,0.221355543661404,0.17269215074317,0.0609997443638892,0.0369943809919271,0.105391506383173,0.159243185032571,0.0744895768558616,0.0459455796031507,0.405850733548956
"Chamaecrista_blanchetii.asc",0.0952064009488749,0.194267374897593,0.492618300469835,NA,0.460630995228218,0.0459689707166151,0.135019779110889,0.0858910983511676,0.0494975579941026,0.0279172489568484,0.342150186267824,0.117583921921979,0.345584048111354,0.425302694742959,0.179888509712743,0.249410316164611,0.350982642361109,0.132729161395877,0.00869717395617564,0.333414605125542,0.00108092014598959,0.00973986488282419,0.0593538890865908,0.162938655942101,0.0351448585794661,0.394689201240905,0.148126484445717,0.0226632126715179,0.431818633904254,0.301657317151033,0.0127609908192132,0.0871964338005038,0.025922242912081,0.454237450528952,0.015111698018205,0.083829583443488,0.38392230034345,0.101813297445136,0.0195869095373596,0.0363381221690535,0.210405557057482
"Chamaecrista_brachystachya.asc",0.251344817513982,0.435456626454557,0.664660165596721,0.758294273429832,NA,0.0400118661533162,0.153237180065251,0.133461380068656,0.12440333994912,0.0929489546013874,0.271579840789473,0.321963191498486,0.370295985612519,0.391868964348976,0.224005670369332,0.279719187821115,0.486409999105813,0.111686893429498,0.0276734917387484,0.36047393650562,0.0090940312583967,0.0466270544656994,0.124788393855203,0.200736629178294,0.0946416857925984,0.395171091266015,0.152188045670496,0.0715428006882283,0.455882352128127,0.363921695677071,0.0411511151117256,0.248288991850639,0.0724945395960701,0.366597524442271,0.0433585172997132,0.0780183313063033,0.285812301533424,0.233941878691819,0.0445822237944354,0.144656109376825,0.393694318802753
"Chamaecrista_burchelli.asc",0.11520003660445,0.0293092880834172,0.130427677599755,0.151144524132507,0.137680208403559,NA,0.0545861715726373,0.124657388974238,0.0563366677355956,0.0168042562248409,0.0176206534148061,0.0347326408712084,0.0458463162615025,0.133997428117674,0.21779110765772,0.146432942670385,0.167023591080779,0.0742722826073248,0.00354051592072324,0.132135953550724,0.00964882317575522,0.0075803746624179,0.0183742944406977,0.268444409484572,0.0344405455759271,0.0631360451388768,0.0623648222637895,0.039203180286583,0.0562652278401268,0.102390881145442,0.0136501619884274,0.0328738506970373,0.022006199447113,0.0422861676910236,0.0114915221307894,0.0633797646467156,0.0237249299773911,0.0489531070608176,0.0107258755735637,0.00560517570080421,0.0825990964461603
"Chamaecrista_calycioides.asc",0.0934443923890511,0.13067352135852,0.185050625090788,0.327731449319008,0.360682495275075,0.184508576616161,NA,0.0881601270832859,0.0394827550424269,0.0176317391526848,0.0600736099801502,0.083654907701007,0.101486654740462,0.316489728382395,0.135312415461222,0.170269771282101,0.215360381166511,0.366719337090611,0.00465060680932261,0.370048793672857,0.000470016713915999,0.00604374117272255,0.0304138064430635,0.266582815790391,0.0224088714688626,0.446442330642427,0.702914628512132,0.0184850851709933,0.414119511362442,0.256408281664059,0.00543619847363641,0.0380798971730528,0.0139694576307844,0.316059054806224,0.011839864239102,0.656307185372177,0.336162667608374,0.086901553615179,0.010783001565048,0.0208030927554878,0.104920778291027
"Chamaecrista_cardiostegia.asc",0.626955641317982,0.184514390052211,0.488275447932497,0.205401089688482,0.315932332580406,0.298392285278425,0.225758879617962,NA,0.298848513010294,0.283667644942544,0.0453731009829741,0.209214712739064,0.0891174716631733,0.158165450913975,0.548973671667233,0.399573685040493,0.236085158287016,0.0787718685883141,0.0690458737468811,0.280857175729327,0.0908143267261448,0.227912033294285,0.320779900724338,0.310759757105317,0.248332561715155,0.107954587849071,0.104120450532528,0.322598678515309,0.111456641612725,0.100272322400822,0.109130998413851,0.205515203242403,0.174560517433451,0.117607664718129,0.0916412014263602,0.048546286765088,0.0547746702390582,0.211587327187626,0.0942244106677996,0.0311252960634557,0.346746204764819
"Chamaecrista_choriophylla.asc",0.638996482965015,0.274696574664216,0.481437429937528,0.123424521009865,0.288271179710565,0.176281747216194,0.12279138961367,0.561789982731141,NA,0.357531757661485,0.0212744772243963,0.376985170856669,0.041800360580915,0.0872909912391328,0.290607053283997,0.166363185827182,0.15572818908524,0.0282424917606976,0.0640502902877569,0.13964900803119,0.176544842791685,0.269536490106633,0.191155068394828,0.162443982754997,0.346175829592922,0.0557818338166258,0.0500809408497765,0.38733572518808,0.0620870055834805,0.05584215902009,0.116424485291348,0.432927927519857,0.191680193790146,0.0497138059040055,0.0977147654717599,0.0184405846221763,0.0276693567202345,0.237147419338816,0.0678220096760508,0.0661928474625375,0.267558485411179
"Chamaecrista_cinerascens.asc",0.797422931319998,0.150926217668198,0.64185631794501,0.0927302729509236,0.271667117681773,0.0675829981274347,0.0651400036358566,0.550246127505894,0.619118586802749,NA,0.0130465644924428,0.319458035401696,0.0459726349555899,0.0492345646984946,0.305402314271759,0.165582026935366,0.108271013768467,0.0154195374923536,0.115082703218514,0.0908751804264584,0.121153542762003,0.592495070980473,0.43755897036954,0.0887181849474132,0.497414571518702,0.0325307879266509,0.0210408596588163,0.47069519808467,0.0273498279461245,0.020162146013692,0.216530568944868,0.444065530945574,0.312934531406703,0.038777773067717,0.0995921575654979,0.00737122946730329,0.00935890178923071,0.209314415775775,0.119956818651544,0.0448649966119679,0.364443501483216
"Chamaecrista_confertiformis.asc",0.0389744910153176,0.0779622445242799,0.430270025910415,0.638445096444222,0.550892023533443,0.0716521007724223,0.163593691425734,0.121572114376781,0.0505564661303539,0.0369880117864327,NA,0.0562692240473481,0.33534950692259,0.184783575655103,0.0766875138120897,0.109977034313504,0.208694126421048,0.0619476013988381,0.00829652291915417,0.154483250848037,0.00117753265614406,0.00358183746326401,0.024966216082853,0.0787800815569371,0.0139734343470566,0.194763638266757,0.0674900772103597,0.0106325550064049,0.192332535086867,0.226726352573363,0.00826503086277386,0.0390750961384327,0.0112958367325263,0.185502052966019,0.00439116827697206,0.0395484941245201,0.142539815078835,0.0374603370287039,0.0104587806397589,0.0160784957019708,0.124803489640456
"Chamaecrista_decora.asc",0.581744740142048,0.689394900690611,0.595002793763065,0.282181000014532,0.588098815927053,0.135110826496119,0.226972756817173,0.461291147594348,0.661386769151855,0.560694855726901,0.148461710737131,NA,0.0894420919054509,0.170889640525545,0.285999519615492,0.232422492985596,0.267741728502781,0.040573518482055,0.0856782721486635,0.217392080236894,0.0762213409057506,0.221067150375455,0.200313780306801,0.192756956902284,0.360179744212695,0.16366008658244,0.0855632677080722,0.278101465069681,0.187354731438553,0.190516240157534,0.150411894620209,0.575301061089919,0.242113080494569,0.129456035481729,0.12960799885948,0.0409842746156731,0.0729417318710223,0.46243149582711,0.119594170065941,0.269703750232941,0.357726724092066
"Chamaecrista_depauperata.asc",0.109003272030757,0.0991167499636163,0.509591859284666,0.635767441560551,0.657160055412689,0.143895070705132,0.253660149667825,0.237906158583639,0.124549027582438,0.150574300181521,0.633398968146523,0.226210075670066,NA,0.264607207171895,0.153956833723285,0.197311998729401,0.356450484903736,0.135084418235193,0.01635095724269,0.250217105309063,0.00299721637525929,0.0122011883865102,0.0712316881901033,0.13373591787691,0.0221346911422581,0.26920699264433,0.122827044864017,0.0190209372947024,0.245393340507557,0.220593449334666,0.0144282781539735,0.0617432851466462,0.017506080438786,0.252042348188875,0.00438520163957001,0.0645957911180952,0.218461548093318,0.0663747429092231,0.0125794220516117,0.0278768782635593,0.3132115014852
"Chamaecrista_desvauxii_var_desvauxii.asc",0.16126281204103,0.259552972729476,0.421739640936876,0.730223111712684,0.686812400030472,0.337724919283205,0.618074309842225,0.356146902714106,0.220406619940596,0.155296557762503,0.422766350646235,0.394082378646945,0.550089203459457,NA,0.331655426323119,0.438067852610379,0.544644378575466,0.279562448779175,0.00996053973047273,0.65271397750296,0.00195673202388535,0.0195376503206059,0.092254784751593,0.492700945733111,0.0547011290176117,0.621509693719902,0.351626780416724,0.0385534731173878,0.61652301983946,0.462669184018808,0.0178036337714459,0.117511240751713,0.0364462376138237,0.596969814866189,0.0252383804031541,0.243966086052379,0.424734255785171,0.169349468225338,0.0249608823931607,0.0563507701987862,0.251330076256826
"Chamaecrista_desvauxii_var_langsdorffii.asc",0.596713814797357,0.232589912924103,0.583930044841912,0.379870365527581,0.476805746527408,0.462204754827746,0.33028009651469,0.83017734651793,0.55224977487622,0.561010850589223,0.208750178743754,0.563451872203992,0.387791625368859,0.587460796131891,NA,0.586096698685944,0.456917068262546,0.145712045348603,0.0565251155269372,0.435129627485243,0.0387555507409352,0.203109080191854,0.317547181178391,0.529465711709539,0.270865505067493,0.221822675886411,0.158875729400321,0.272050051881004,0.20434519508852,0.223418485217046,0.0958401164044798,0.265782819573856,0.177839883459408,0.201721639355448,0.0942288786016572,0.0934139831903233,0.104565766554132,0.289544078352778,0.0939729926780786,0.0488335992931477,0.475423117314811
"Chamaecrista_desvauxii_var_latistipula.asc",0.435090118468354,0.256885917947918,0.49112802621491,0.509735462453779,0.549111618224913,0.349077116531156,0.396569605249538,0.698305232704741,0.366958452868652,0.388807040201886,0.271091316848409,0.490523658604311,0.446658863010704,0.711061213499192,0.845280826900338,NA,0.519641551215026,0.217561489518034,0.0328672908097722,0.550332085254508,0.00867274535582763,0.0924641154426578,0.247001976706682,0.486937947532292,0.160665128854493,0.323737862291335,0.196320710762572,0.129427580028599,0.29350007172445,0.289443392020682,0.0549938204862805,0.197338322485224,0.115141541054117,0.336748632726813,0.0600574643753535,0.114653216869748,0.173435184608267,0.259994486352304,0.071792343338881,0.0620964462398311,0.448459325687954
"Chamaecrista_desvauxii_var_mollissima.asc",0.310149778972069,0.31407669603721,0.612056786181564,0.660404195594422,0.778174352389872,0.379290340882354,0.463585777124469,0.492696635363783,0.355314246597961,0.305696849084017,0.462408334422775,0.551950698284701,0.669359386911996,0.822414377914877,0.736647439677006,0.793357092769544,NA,0.265491188369516,0.0253727416917707,0.609639400016508,0.00882226286231969,0.0555213118721619,0.13793774059042,0.475179465919605,0.114139917281026,0.434728418709673,0.24401696629272,0.0908356699128235,0.409708168525674,0.443561746002375,0.0433915529177343,0.206971746183328,0.0831276922410513,0.360749479322486,0.0423290410086041,0.154011598938088,0.232505870516665,0.228145266933768,0.0469313566170503,0.0901459071485307,0.447368631430572
"Chamaecrista_diphylla.asc",0.0728046619329187,0.05184964708648,0.178615248272763,0.332729368439901,0.276766326488983,0.235112173321288,0.666133657339987,0.222023674618927,0.0953983748903534,0.0664577745765056,0.172473924642844,0.130996535326757,0.317279447607829,0.570847727064542,0.378584870291351,0.467659318546905,0.542134453849492,NA,0.00462930074568457,0.407016821924924,0.00117025830815187,0.00593328533682003,0.0192222137528442,0.255770491030758,0.0157001366308207,0.280330021404133,0.466241321006903,0.0126421593644426,0.242013931406812,0.203125241369369,0.00625386247800352,0.0212063237814022,0.0116053265233934,0.243604190360228,0.00453473192595,0.411496109358636,0.211995876086578,0.0442276482022393,0.00669378402974663,0.00729602621543701,0.108606163645411
"Chamaecrista_distichoclada.asc",0.356429016169158,0.0781346790092852,0.155755539288182,0.0287118920106378,0.0896259135771987,0.0169075529671723,0.0211053464037458,0.168759270997377,0.155090663730328,0.249225099486608,0.020217528421183,0.194886703297214,0.0508573334220851,0.0387968478006817,0.157361479063859,0.118955525078277,0.0869173911125863,0.0240864647881147,NA,0.016973328705039,0.0872703464135419,0.188182142116549,0.115665592795796,0.0178032624699433,0.179274355464387,0.0111082569349931,0.00541598626708584,0.119525699487802,0.00989661967417355,0.00983178118032935,0.293459602152629,0.093171621307247,0.234683111009301,0.0123081480462129,0.17336412793229,0.00259624423646654,0.00505352917252488,0.145283820284659,0.308870979177851,0.0280486027879705,0.115225358236602
