tree,ER, SYM, ARD, ER/ER, SYM/SYM, ARD/ARD, ER/ARD, ER/SYM, ARD/SYM
1,70.15976335,77.3091492,98.4329894,74.85617484,105.0234211,212.0705176,106.5764718,87.7198245,133.3356747
2,72.15565671,77.86308904,97.2250531,76.17308771,104.9247139,213.5916692,110.7150957,83.65291908,135.7615563
3,72.06478311,78.47946752,98.10406547,75.80859576,106.9882987,213.2316014,108.6777771,84.95860151,137.4880466
4,71.41232723,79.0082823,98.79573362,76.33680097,106.8918185,215.7898408,108.0289086,85.03862901,135.6468038
5,71.86631545,78.03467438,97.40086745,76.22430251,105.2643766,212.4015748,106.9159435,84.06786046,134.504127
6,72.16430654,77.92506545,97.41874552,76.08664337,107.6087449,214.4111881,110.5787668,83.95570486,133.2459557
7,74.51790193,79.31444493,97.31285924,76.24745941,104.8185194,214.4530065,106.7243877,84.15231192,136.3089835
8,75.55859025,80.14842424,100.0216982,76.99781956,107.1371389,211.8703171,110.28517,85.43343645,139.1562779
9,72.13028885,78.94232425,97.14185002,75.15375721,104.1213773,211.7453242,106.4757719,84.489725,136.4019071
10,70.2298647,77.27201511,95.19221658,74.53914757,104.6718934,210.856302,105.5508232,82.40725152,137.4137384
11,72.93876799,79.68776704,98.84056841,76.10122576,106.1784533,214.2043902,107.3979012,84.42239511,138.3262902
12,70.84086452,79.06974983,95.37938722,73.77637531,102.7438347,210.2318398,106.0439138,82.13557696,131.6568396
13,74.96973546,79.75649081,99.17146834,77.43949904,106.2047713,211.1856155,108.0423457,85.31676734,135.2765023
14,76.22693814,79.72547417,99.04049525,76.96821159,105.4003117,216.2260484,109.3565412,85.49163067,137.6265293
15,69.54188219,75.71697015,96.15391198,74.71893194,104.0323316,210.9490754,105.7243634,82.91154551,133.0490263
16,71.46795321,75.52390647,95.25873591,75.05400443,103.0941553,212.3515047,105.0699486,81.55648229,132.2909319
17,71.17263968,75.92256275,95.66794367,74.90759977,103.7816711,210.5401642,105.7821428,85.76343678,134.2799644
18,73.26364967,78.98587272,98.58576482,76.66449733,105.6536302,212.5888226,108.0197991,85.7013486,136.3080427
19,71.45912576,77.99026475,97.39179313,75.84738921,105.3480708,212.4290249,106.8533324,83.32594333,137.4409892
20,74.7047129,79.45480458,98.97719489,76.49181889,105.8399878,214.1486718,109.5948659,84.42966268,135.0491416
21,69.94101434,77.60246259,96.4477728,74.69815655,103.0714442,213.582187,106.2735344,82.4643296,135.6280527
22,72.80269192,79.38296229,95.95332826,75.66311027,105.9118705,211.3895422,107.0607086,82.81711211,133.8985108
23,72.39289539,77.03086723,97.03795226,75.37023883,103.5726437,210.8800345,107.2972408,82.82080359,131.9049183
24,69.39557556,74.98084181,95.34219494,74.4169626,104.662757,209.0991633,104.9635463,81.74681958,134.2826816
25,71.83592884,76.42525052,112.3691452,74.1043756,103.705242,211.1088875,106.9997317,81.71547983,132.3932966
26,71.62033532,77.35933871,96.95797858,76.04875433,103.9808269,211.7912462,106.7548853,83.92470375,132.7792026
27,85.04509048,83.8033582,101.6560056,79.79284026,109.5009385,212.551587,111.8967699,90.05096185,136.3137244
28,72.21423599,78.32095771,97.5701915,76.23212034,110.1885419,213.590366,107.9402349,83.84496808,133.5342453
29,77.19815103,83.82747617,118.1555845,77.40366071,108.8092557,216.0323665,109.0132592,88.90162713,138.9931749
30,71.18786395,75.8634654,95.61421142,75.39029558,104.4732407,212.3526443,109.3275719,83.2278132,132.4740728
31,69.4074855,76.92897188,96.76278457,74.46290324,105.2395156,212.0046343,106.4687232,87.29436108,133.1539289
32,71.03108785,77.70898422,96.94459168,75.21662998,104.2749107,214.2110748,106.0953305,85.19537006,134.081107
33,70.10790666,75.18380101,95.04859841,74.33239089,102.8346425,210.7756413,105.0114233,83.08887502,132.3047229
34,70.58912693,76.32013085,95.99256667,75.6215989,104.3677771,210.1072151,106.2636241,83.5277967,135.1840263
35,72.37935785,78.27711722,97.97590236,74.96907213,105.4256373,212.0304875,108.8380916,83.73019581,135.4260678
36,71.4571695,78.36814814,97.25193055,75.24345979,107.2390008,213.4245862,108.3788075,83.56221133,136.8584179
37,78.75046768,82.10989245,100.7612753,77.67056564,106.603114,214.9146324,110.0175259,88.29048043,136.2698885
38,71.89844883,81.52531758,98.95428529,76.23745358,109.7268816,213.1311683,110.1802723,85.45817789,138.1465263
39,71.81798063,77.87665419,97.91781844,76.01894932,105.5411964,211.9558971,107.4892619,83.90828879,136.6224766
40,72.19224187,77.94526182,97.84759535,76.1419652,104.8373926,218.5368319,108.1763774,83.97835086,134.1274477
41,73.07531934,77.62150389,97.37894452,75.83768807,104.4750455,213.7211657,106.4069275,84.48439478,133.1545026
42,71.87939745,77.19860217,97.47621892,75.73190328,104.162473,211.6146014,106.568752,83.88736552,132.7542768
43,71.05749716,76.61465264,96.93369662,75.58252179,104.1964987,210.9223535,106.5145374,83.52994392,138.4600293
44,71.47334449,75.2792766,94.66406384,75.04821245,103.9230682,211.9427323,107.2136962,82.10175437,132.1519664
45,72.25750653,77.40725139,96.85767824,76.96370133,107.0924384,212.8498297,107.1133296,83.24701811,135.4141248
46,72.89559946,79.33632642,98.96452397,77.10782189,106.1652696,212.5634935,109.5884621,85.41174109,135.7165274
47,68.94753699,75.13250317,95.19224303,74.53441848,104.8157638,211.1389516,105.4314453,81.16322755,133.8579726
48,72.18381789,79.24672991,97.56780164,75.53688227,105.8113569,212.2176208,108.3712137,85.09431716,136.6297506
49,71.71262257,77.01882466,96.71971252,75.16315312,106.7016999,210.7476975,106.5886277,84.3774719,136.1216016
50,71.91611083,76.84042078,96.40410937,74.62764333,104.1864108,211.861618,107.9841674,82.86590175,133.789378
51,69.77850622,76.20438072,95.93903507,74.5606365,106.2710325,213.1004834,105.8001331,82.71319801,134.3746619
52,68.77925418,76.2904842,95.64745312,74.46057617,104.0789654,212.3036765,105.432062,81.95587516,133.042229
53,72.25321839,77.86075345,97.44712313,75.3702826,106.0443985,212.6234706,106.6730204,83.93750758,133.4303055
54,72.28552165,78.45367027,96.70742294,75.23967663,104.6606979,210.3601027,107.823265,86.00977756,135.6103422
55,74.78591532,79.13932528,97.81947591,76.33855484,108.0585639,210.2137169,106.8176063,85.17198207,137.8514776
56,69.92203595,77.72112988,96.79605106,74.8804065,105.0092217,211.8829193,106.5148805,83.49640411,134.638606
57,70.621564,75.99535918,95.75074473,74.96092104,104.1269047,211.6771244,105.4560792,82.30321008,136.2695432
58,71.88121183,82.87422232,97.80450355,75.77937978,105.5349148,213.5253544,110.2121697,84.04006189,134.2903708
59,73.5545484,79.22098576,98.69390115,76.68491294,108.9057305,213.9415238,108.0301542,85.80563236,137.8055718
60,73.50948232,76.15377924,95.51450128,74.92670582,104.1061722,211.5316154,106.3374504,82.63609345,137.109232
61,78.73079843,80.65190533,99.28126978,78.17939983,106.6440226,212.1391429,108.7550842,87.11012945,135.5893676
62,70.2899458,76.36307451,96.44735817,74.99147149,103.844075,210.2806543,107.1726184,82.39473128,133.5526907
63,70.10600814,75.23832778,95.20440399,74.59691886,103.3987648,212.3468043,105.7775402,81.2707861,135.0597673
64,74.01909536,78.4190493,97.62537419,77.16548498,108.0132546,210.5106401,107.699185,84.45532548,134.3377256
65,73.78779594,82.4035649,99.56939522,77.41125105,109.6660873,212.832489,110.9753711,86.01652044,136.9480856
66,71.74819824,77.49307319,97.44393635,75.53476872,103.949199,212.8709559,106.5695984,82.96377604,133.3084073
67,72.47873902,80.52046002,96.25841502,75.42536402,103.9205903,212.1075876,105.6897692,82.5876396,132.8992049
68,71.4274125,76.25314228,95.97096316,75.28754413,102.9635402,208.458423,105.6307371,83.41091018,136.1562508
69,72.85928643,78.10912861,96.73212594,75.45041833,104.4866818,213.8741375,106.3646212,83.70571354,133.6881124
70,71.99186604,77.39176568,97.22876806,75.69672963,105.2260857,211.6911736,107.0200332,84.23317113,136.8824472
71,71.01499036,75.58925811,95.28947271,75.24874163,103.2281521,212.0208457,104.2270361,81.62195334,132.4400291
72,71.45406448,76.6006436,95.73815359,75.44933704,102.6744881,212.87778,107.1801997,81.83718369,131.8188557
73,71.2430487,78.09577633,98.09210044,75.94939633,107.9707341,212.6429139,107.672908,84.12706769,140.82112
74,71.2916247,78.27194881,96.31900587,75.22915079,105.6534606,212.0458563,106.6275526,83.52001441,135.0759457
75,73.90969179,79.65128443,98.47582713,76.87941455,106.6223123,212.5378184,107.5324802,85.71663036,135.9705799
76,72.99519925,80.1753584,98.47519957,76.43912683,105.2932324,213.6528316,110.7498368,84.69483372,136.0328115
77,72.27754109,77.36801779,96.62709248,75.47237088,103.9998148,212.7323982,105.92408,82.92866751,134.3914658
78,79.39952944,81.69025868,100.4382482,77.9977629,108.4477142,215.6577433,109.6363441,87.88631935,137.0008211
79,72.7515221,78.18981024,97.49524117,76.19208796,104.8509578,214.593202,106.8455338,83.76105044,136.3797916
80,72.11775197,77.00555708,96.48478356,75.72522174,104.9683917,213.6683467,105.9065817,82.95063874,132.3154889
81,72.82332508,78.07184021,97.63962358,76.26441213,106.1300773,211.7989414,107.0722645,84.21267959,134.4491828
82,72.81715968,80.41914768,97.29970065,76.67484789,104.9767188,211.2899579,107.4857522,84.55373481,134.2199757
83,71.63188862,76.7508549,96.60808343,75.6260803,105.012608,213.7337888,106.4311379,83.52295356,133.9084303
84,70.48227947,77.71075725,95.4934208,74.57186369,102.6327813,212.645571,106.4093525,81.56495615,131.635238
85,70.44655413,76.63651296,96.41337712,75.65863084,105.4942475,210.8918835,108.0430686,82.67027133,135.146403
86,75.10385704,80.02031661,98.37930843,77.53536098,104.6312148,211.7152117,108.7758676,86.59977643,134.6892738
87,69.51571612,75.93690438,95.2652225,74.22913014,105.6201621,211.2392833,105.6966035,81.96808056,135.4024895
88,72.13095805,79.01913242,98.45836489,76.07377163,105.5115778,214.0253668,110.9015647,84.45282084,137.9856375
89,71.61821019,77.06525973,95.97207521,75.84593935,105.4698159,210.8362005,106.3970271,83.50914408,133.2189033
90,72.79594852,79.47389282,98.62827032,76.07115813,109.0939336,212.9909905,107.9426691,84.8540039,138.3381732
91,70.31246932,75.59608932,95.10000594,75.19649359,105.7432418,212.2360516,105.7190032,81.57427673,133.9185848
92,72.06637105,78.79519317,97.82342046,76.1096143,105.0034588,212.8047263,110.4616416,84.27809951,135.4526273
93,69.98082214,74.19679229,94.11506438,74.2722637,102.0661837,210.924904,104.6956456,81.73433635,133.6568045
94,71.26561788,78.14286749,97.86948612,76.30924424,105.5349813,213.6359107,107.8110487,84.81626342,137.2552928
95,69.85246828,76.32155971,96.46812263,74.50836066,103.4792061,209.0898144,106.1079885,82.85331791,135.7064293
96,75.31374687,80.06918166,98.99390822,77.84838472,107.0805539,212.2264407,108.7685811,86.49465983,135.2061739
97,69.42130596,75.11242696,110.4040129,73.95662129,103.3820152,212.2789183,105.2724379,81.14344917,134.3697371
98,72.76173615,78.99472049,98.07259065,76.32903805,106.7398346,213.8511361,107.3140339,84.96671394,135.9537098
99,72.40186105,78.54553826,98.24490296,75.84347601,105.5095106,212.7491239,108.9194587,89.62616958,133.8786846
100,71.70808628,79.1311611,99.33768026,76.59309328,111.082617,212.83632,109.4416326,85.16182283,135.6879992
101,70.46856749,81.9826254,97.91067,75.38445874,107.5505831,213.1393468,110.753182,84.11425841,137.0547559
102,70.78298462,75.88062411,95.65958214,75.22491778,104.7523948,211.5679458,105.9465093,83.3016097,138.4835046
103,69.40802251,76.33981476,96.01697235,74.64057353,105.7958267,212.0548751,106.1214358,83.36029695,134.3953618
104,70.64051528,77.17828709,95.90335289,74.87458482,103.2394086,211.4750422,109.2084213,82.03571726,135.7483943
105,73.53387621,77.83584648,97.24784576,75.74999309,105.6239746,212.562289,109.6464381,84.73816868,134.2914198
106,72.25160537,79.03408774,98.10149829,76.57577885,104.6082422,212.6991928,109.5961077,84.73827238,137.8583532
107,73.09598417,77.61358114,97.47608659,75.87876921,104.9243397,211.9649167,107.3432092,83.56529337,134.4393632
108,69.14106497,75.66625571,95.79599634,74.36113677,104.1330785,210.4047649,105.4889038,82.36792104,132.2734231
109,69.43792716,75.18034558,94.62380018,74.23974229,103.7077374,210.3250058,105.179497,85.83209926,133.2831828
110,72.40129438,78.50488775,97.20785796,75.77160805,104.4032699,214.3505582,106.8972119,84.27699766,137.3848564
111,69.80182513,76.58243866,95.8171937,75.00936327,106.2698695,211.820575,106.3611197,83.45591946,133.6119037
112,71.07211911,79.76952416,98.23225018,75.82185093,106.0588081,213.4977277,109.4059554,84.89929615,137.611163
113,73.05464691,78.34871359,97.77422813,76.94016448,107.4985061,211.2388919,107.5803369,84.81219389,134.7552666
114,72.3745077,77.93648494,97.74651866,75.84300132,105.0585167,210.4726302,107.2924572,84.66010741,133.7489518
115,72.89784856,78.61832006,97.30778566,76.4599073,103.7469085,214.8689566,106.9511446,84.1099221,132.5205225
116,73.2745272,80.62941188,97.57164322,76.39907068,104.1527654,211.2017262,109.0912503,84.01723377,136.6111936
117,72.66355187,77.39885196,97.08120046,76.1654627,103.8723722,210.2606404,109.7680942,83.18721693,135.9555217
118,72.84588616,78.4114555,97.33138858,76.03288627,105.7568426,212.7706573,106.7645488,83.85509981,136.4108551
119,73.30896989,77.49731148,96.72453546,75.75963537,105.1421314,211.4903907,105.7410711,84.87981112,136.0830371
120,70.10033155,75.72354896,95.63055637,74.81371395,104.3037123,212.4225992,105.8297659,82.70535552,133.3421197
121,76.32676892,81.6308127,100.8826788,77.69546793,107.6723289,212.9212144,109.0749515,86.49507558,139.0661995
122,70.09041405,75.1837455,94.64806105,74.64728551,104.8717988,212.1044879,107.3769881,81.21554568,132.3018245
123,70.36985751,76.46185982,96.02117328,75.27649467,104.2332143,211.1158131,105.0348723,82.49226717,135.9041563
124,71.71749424,75.86800509,95.55945186,75.58921308,103.0297244,209.7736932,105.4518141,81.85823787,132.7565247
125,70.90976768,77.91276932,96.88501776,75.70004788,105.3663547,212.8279133,106.9797748,83.94420983,137.7850588
126,69.66542025,77.25169569,97.15844562,75.34265398,106.8785275,212.3718002,107.420247,83.78650865,133.5673411
127,69.48753162,75.23122954,94.89261789,74.61555012,103.452582,210.7407209,105.1572368,81.2622874,132.9477018
128,70.89867323,77.77268608,97.38207596,75.5947446,107.158251,211.1740508,107.0030325,83.50719339,136.6133312
129,73.2995924,78.13729207,96.86206842,76.12218662,103.564673,208.6966904,106.2718695,83.18760756,131.9669659
130,71.71688363,81.27827676,95.17886781,75.00671505,102.2238105,209.7232103,107.3758279,82.84768494,135.6783764
131,72.86085219,78.34452825,97.60431835,76.11922006,104.2588979,213.6928335,106.9597948,84.14825485,133.0455048
132,71.75206131,78.31569101,97.43660065,76.06458488,104.2839723,209.9248367,107.9975738,84.39021359,133.4467164
133,68.15951289,74.96401595,94.84901607,74.37591917,104.819672,210.2718542,105.165265,80.99462556,133.8146157
134,75.97384502,80.25250098,99.38461205,77.83231373,109.0255362,213.8397453,110.0242752,86.99418515,137.6927099
135,70.12299866,76.52724304,96.6204097,75.19331438,106.1248392,211.0137384,106.385396,83.38144476,137.1811367
136,73.03617324,82.24165448,98.0398545,76.6797541,106.3676479,213.0070173,107.8273283,85.14901039,135.8861544
137,72.66427194,77.31222672,96.80635622,76.50427103,104.6172468,209.4897435,105.8327687,84.13335928,133.5656411
138,71.52127992,78.62560819,98.01341869,75.8967781,105.9170291,212.0218328,107.6342104,84.93642639,136.156734
139,72.69610968,78.70481646,97.13222604,76.12707054,105.148205,214.2748361,108.8502655,85.05705059,137.6311379
140,70.3744902,76.89650738,96.18646249,75.16820414,103.8002352,210.4031953,110.0908261,82.22395748,132.6274766
141,73.39019929,78.77300411,98.22204209,76.84468754,105.4808574,212.7540899,106.9577247,84.24007494,137.1111716
142,71.70628678,77.78360405,96.9697033,76.04485059,106.4235968,217.2791396,107.2956547,84.09276175,136.3803671
143,71.95747547,78.70895689,97.49125914,75.68117469,105.3891243,212.1347366,110.2641336,84.9946548,137.6702238
144,74.21189584,77.26694073,96.65673419,75.26270506,102.9514105,208.4799695,107.4939266,83.053933,133.4297464
145,74.12191352,78.60383827,98.0697589,76.17200739,107.094518,214.5287562,107.6963549,84.8798634,136.3608097
146,71.83890895,77.9361688,97.85315407,76.12012085,104.6683398,214.9958148,107.4978644,85.39012358,133.309048
147,70.6702573,76.50373026,96.16856644,74.90323879,105.7725481,209.8426634,106.3462896,83.3896307,135.7493173
148,72.58228124,78.32633582,98.07635025,75.57192522,105.8289308,215.1913311,107.1854813,84.35933541,136.43327
149,72.08032897,77.7593764,97.35774986,75.56954318,105.8492682,214.4830748,106.5376673,83.24289212,133.2594592
150,71.28912166,77.94144904,96.69211891,75.78671658,104.3526806,214.7395204,108.2770195,83.0108073,137.31082
151,70.32388454,78.01000841,97.53938498,75.39956577,105.7131338,213.3965347,110.0364823,84.08579781,135.4483128
152,73.87528001,78.34411442,97.77816821,76.70073285,104.8456399,213.0896184,109.396134,84.38271592,138.475566
153,72.90063809,80.62884277,98.17341884,75.61053216,105.174187,212.8647236,106.7960598,85.44028395,135.7865123
154,74.54722509,80.68343835,97.69231203,76.74647148,105.5934799,212.8360553,108.041718,84.36886545,134.7246654
155,69.20370763,75.52060885,93.78622448,73.47339349,103.5967972,213.0049084,104.749055,81.55091345,131.8249731
156,73.28392225,78.22495554,97.80934821,76.60424596,105.9005978,211.4565749,107.4186569,84.10953411,134.0166349
157,70.42086397,76.81243838,96.79770556,75.20546769,104.6405629,212.9526341,108.7220162,82.84310609,134.0221312
158,71.98466563,80.10847332,98.6971068,76.24947285,107.9580111,212.5091548,108.6217452,84.30415119,137.1403249
159,70.2848775,76.06928336,110.9660913,75.25449686,103.3117349,211.4588379,105.6430909,82.10259847,132.5743565
160,70.72088673,77.74026406,97.60285507,74.75371042,104.5057665,210.1070582,106.0456977,82.48869325,135.8660597
161,75.48701599,79.53254406,98.74418795,77.91309267,106.2548529,214.009786,110.5044149,85.56642728,135.1121934
162,71.74147783,78.55488848,98.01281271,76.60190741,109.3177266,213.7303516,110.3039616,84.56305734,138.8980144
163,72.79915871,78.24912241,97.88271626,76.11065879,105.7341829,210.7435726,108.197244,84.89583505,138.2977316
164,72.22223985,77.66528194,97.47829853,76.14839289,104.0104364,211.9061196,106.7852572,85.19663309,136.042119
165,68.6456121,74.85531846,94.68236376,73.65178209,103.2634841,212.6209366,106.2348878,81.72177553,134.7627454
166,72.99188637,75.51156823,94.87706773,75.17947502,101.7777602,217.6868719,104.0899497,81.52356213,132.4848349
167,74.51303183,78.48656133,98.19525087,76.83458267,103.8852788,210.7784046,110.6368623,84.5659694,137.2866129
168,70.53262392,82.2200495,96.73122505,74.73494292,107.1358259,213.2554766,106.7072464,86.30052953,135.9269881
169,73.47675979,80.13234874,98.99584962,76.75420544,105.8917037,212.7307795,108.1138005,93.26043464,138.9493272
170,73.00001932,77.04351954,96.63052337,76.56424038,103.7773476,211.2719674,106.3810217,83.08498063,135.2973421
171,71.22511202,76.38702469,95.86874193,75.49415901,103.8676052,210.5879111,107.1833236,82.89197004,133.9244058
172,73.12868178,80.41421288,99.85198734,77.11628301,109.9235524,215.4121756,111.3364681,85.88093051,139.6822738
173,70.97975336,75.2711015,96.21729863,74.87689979,103.807449,208.8139116,105.6751228,81.3039402,131.6157026
174,69.02156583,78.40469996,95.39618781,74.50719573,103.461217,212.5317087,107.8517478,82.74119525,133.3807983
175,69.72856787,76.80966439,95.9866628,74.37451407,103.4577882,210.2412254,105.5889866,82.60645515,136.3578709
176,71.54971272,81.30300765,97.69924092,75.74565782,107.5462277,212.2611905,107.3268087,84.44398171,138.7251079
177,74.93008589,77.13039312,96.57911367,76.59492944,104.0736675,210.5806745,105.9493783,83.64387973,133.933149
178,70.85706969,77.03857994,96.85750807,75.31234762,105.0904842,212.6961217,106.6507967,89.01387971,138.3700117
179,69.55539745,77.19009189,96.38702223,74.22680536,103.6993944,213.5288309,106.0052704,84.07055841,135.8848124
180,77.76797067,81.39652428,100.0589968,78.54870753,107.594996,212.3908821,109.1702798,86.44593348,136.885561
181,73.89254774,79.34504777,98.75805973,76.90488408,106.180439,215.3996551,107.5431148,85.38008712,138.3427439
182,75.62939452,79.19688122,98.32244811,77.24485364,104.7435209,213.670867,106.9645638,85.28421064,135.1745715
183,71.60260918,78.07507038,96.88727712,75.09814769,104.9365747,211.497479,109.070462,83.56934236,137.1151708
184,68.95128221,73.90129226,94.05608843,73.4828933,102.1517511,209.5356571,104.1896982,83.95415935,131.8734381
185,73.72683371,79.67645092,99.29346124,76.52495145,105.4632392,214.1174268,110.8675654,86.66878276,137.1848085
186,71.22362426,76.01685516,95.95496431,76.18433935,103.8399241,210.9681831,106.2705588,82.13312923,132.93496
187,69.12884812,75.39096143,95.10260578,74.19978683,102.9842395,210.3229745,105.8734227,81.43941734,135.7433229
188,71.21765963,78.19086889,96.72449956,75.15026554,105.9823727,211.4938319,106.4055926,83.41018514,137.8735624
189,70.92381098,77.28481187,96.78372453,75.02884503,105.7958046,211.2730106,106.8528664,83.64258061,135.0523134
190,72.63430914,79.79071042,97.76170702,75.25551538,104.7547466,210.1321668,106.5339627,88.98856979,136.6530264
191,70.15541075,76.67932402,96.26652526,75.37532368,104.6393737,213.409318,106.2222213,83.34157647,133.12689
192,72.96774123,79.59348567,97.93462335,76.6859995,106.7842258,212.7022797,109.2944263,86.75009952,137.2499906
193,72.31652644,75.64904961,94.84810254,74.7426812,103.8148891,210.5264282,106.3651358,82.51237986,133.4512652
194,72.57786229,77.00122072,96.62621734,76.11055918,105.5949917,212.4030168,106.4648276,83.03497282,134.3630599
195,71.844479,77.94878426,97.27457395,76.68308521,105.4722797,213.491223,107.6277312,83.97948964,135.4980461
196,70.11628761,76.51993043,95.82648468,75.15123359,105.7740722,210.7284717,107.253858,83.27127049,134.4967928
197,73.24388768,78.77492262,98.46399939,76.40112265,108.1468269,214.1569585,109.9554758,84.49645678,138.2298443
198,70.68934656,75.09428757,94.91015641,74.44889161,102.463089,211.8935961,104.5903286,81.73739264,132.2926844
199,73.25604563,78.86812582,98.0341419,76.32858813,104.359676,215.6571871,109.0623755,84.31212323,135.3343496
200,70.38509604,75.40178684,95.92551407,74.29026649,103.0918177,209.9412091,104.918754,81.43427794,133.173492
