specie, life_form
Chamaecrista_anceps,geophyte
Chamaecrista_aristata,geophyte
Chamaecrista_arrojadoana,geophyte
Chamaecrista_blanchetii,geophyte
Chamaecrista_brachystachya,phanerophyte
Chamaecrista_burchelli,geophyte
Chamaecrista_calycioides,therophyte
Chamaecrista_cardiostegia,geophyte
Chamaecrista_choriophylla,geophyte
Chamaecrista_cinerascens,geophyte
Chamaecrista_confertiformis,phanerophyte
Chamaecrista_decora,phanerophyte
Chamaecrista_depauperata,geophyte
Chamaecrista_desvauxii_var_desvauxii,chamaephyte
Chamaecrista_desvauxii_var_langsdorffii,chamaephyte
Chamaecrista_desvauxii_var_latistipula,phanerophyte
Chamaecrista_desvauxii_var_mollissima,phanerophyte
Chamaecrista_diphylla,therophyte
Chamaecrista_distichoclada,geophyte
Chamaecrista_flexuosa_var_flexuosa,geophyte
Chamaecrista_lagotois,geophyte
Chamaecrista_latifolia,geophyte
Chamaecrista_mucronata,geophyte
Chamaecrista_nictitans_subsp_brachypoda,therophyte
Chamaecrista_olesiphylla,geophyte
Chamaecrista_pascuorum,chamaephyte
Chamaecrista_pilosa_var_luxurians,therophyte
Chamaecrista_potentilla,geophyte
Chamaecrista_repens_var_multijuga,geophyte
Chamaecrista_roraimae,phanerophyte
Chamaecrista_rossicorum,geophyte
Chamaecrista_rotundata_var_interstes,geophyte
Chamaecrista_rotundata_var_rotundata,geophyte
Chamaecrista_rotundifolia_var_grandiflora,therophyte
Chamaecrista_simplifacta,geophyte
Chamaecrista_supplex,therophyte
Chamaecrista_swainsonii,chamaephyte
Chamaecrista_tragacanthoides_var_rasa,geophyte
Chamaecrista_tragacanthoides_var_tragacanthoides,geophyte
Chamaecrista_ulmea,geophyte
Chamaecrista_venulosa,chamaephyte